id,name,description
1,La Casa,"Restaurante tradicional de la casa: platos caseros, pollo a la brasa y guisos al estilo familiar. Ambiente acogedor."
2,El Puerto,"Mariscos frescos, ceviche, camarones y pescado a la plancha. Vista al mar y horario para cenas."
3,Doña Lupita,"Comida mexicana auténtica: tacos al pastor, mole poblano y salsas caseras. Excelente para familias."
4,Parrilla Norte,"Parrilla y carnes: cortes importados, parrilladas para dos y servicio de cerveza artesanal."
5,Sakura Sushi,"Sushi y cocina japonesa: nigiri, maki, ramen y menú vegetariano. Ideal para cenas formales."
6,Pizza Roma,"Pizzas al horno de leña, masa fina, ingredientes italianos y opciones vegetarianas. Entrega a domicilio."
7,El Rincón Vegetal,"Opciones veganas y vegetarianas, bowls, smoothies y postres saludables. Ambiente moderno."
8,Café Central,"Desayunos, brunch y café de especialidad. Tostadas, croissants y pastelería artesanal. Wifi gratis."
9,Tacos El Rey,"Tacos y antojitos: pastor, bistec, suadero y salsa picante. Comida rápida tradicional."
10,La Tasca,"Tapas y platos españoles: paella, jamón ibérico, sangría y menú para compartir. Música en vivo fines de semana."
11,Mar y Tierra,"Fusión mediterránea: platos con mariscos y carnes. Recomendado: risotto de camarón."
12,Bistro Provenza,"Cocina francesa y platillos europeos: quiches, crepes y menú ejecutivo al mediodía."
13,El Mercado,"Ingredientes locales y mercado-cocina: platillos del día con productos de temporada."
14,La Esquina,"Comida rápida y antojitos: hamburguesas gourmet, papas fritas y batidos. Excelente para niños."
15,Brasa y Sazón,"Pollo rostizado, adobos caseros y guarniciones tradicionales. Servicio familiar y para llevar."
16,Sabor a Mar,"Especialidad en mariscos y pescados: cócteles de mariscos, filete a la mantequilla."
17,Noche de Tapas,"Bar de tapas y vinos, ambiente nocturno y música en vivo. Ideal para grupos."
18,Panadería Dulce Hogar,"Panadería y repostería: pan fresco, pasteles personalizados y café por la mañana."
19,La Cantina,"Cantina mexicana clásica: botanas, tequilas, mezcales y platos fuertes estilo casero."
20,Sabor Asiático,"Cocina asiática variada: wok, dim sum, sushi y platos picantes. Servicio rápido."
